שם מקורי,שם מתורגם
פצועים בראש,PTSVAYM_BRASH
פקין אקספרס (ישראל),PKYN_AKSPRS_YSHRAL
פרודים,PRVDYM
פרוייקט Y,PRVYYKT_Y
פרויקט ביפ,PRVYKT_BYP
פרויקט הלהקה,PRVYKT_HLHKH
פרויקט קליזו,PRVYKT_KLYZV
פרופיל 64,PRVPYL_64
פריפריה אימפריה,PRYPRYH_AYMPRYH
פרסונל פופ סטאר / PPS,PRSVNL_PVP_STAR__PPS
פרפקט 10,PRPKT_10
פרפר נחמד,PRPR_NHMD
פרפר נחמד 2021,PRPR_NHMD_2021
פרצופה של המדינה,PRTSVPH_SHEL_HMDYNH
פרשת מזריק הנפט,PRSHT_MZRYK_HNPT
פשוט לבשל,PSHVT_LBSHL
פשע אמיתי,PSHA_AMYTY
פשע לא מאורגן,PSHA_LA_MAVRGN
צ'מפיונסניק,TSMPYVNSNYK
צוות הצלה,TSVVT_HTSLH
צומת מילר,TSVMT_MYLR
צחוק מהמצב,TSHVK_MHMTSB
צחוק מעבודה,TSHVK_MABVDH
צייד המרגלים,TSYYD_HMRGLYM
צל של אמת,TSL_SHEL_AMT
צפוף,TSPVP
קובי וליטל החיים עצמם,KVBY_VLYTL_HHYYM_ATSMM
קוגל,KVGL
קווסט,KVVST
קול הסיפור,KVL_HSYPVR
קופה ראשית,KVPH_RASHYT
קופיקו,KVPYKV
קופיקו במשטרה,KVPYKV_BMSHTRH
קופיקו בספרייה,KVPYKV_BSPRYYH
קופיקו ואתגר הבישול,KVPYKV_VATGR_HBYSHVL
קופיקו חוקי הג'ונגל,KVPYKV_HVKY_HGVNGL
"קוקה בע""מ",KVKH_BAM
קורדרוי,KVRDRVY
קחי אותי שרון,KHY_AVTY_SHRVN
קטמנדו,KTMNDV
קיבוצניקים,KYBVTSNYKYM
קינגים,KYNGYM
קיסריה אקספרס,KYSRYH_AKSPRS
קעקועים עם אסף גרניט,KAKVAYM_AM_ASP_GRNYT
קפה עמליה,KPH_AMLYH
קפה פריז,KPH_PRYZ
קפיצה למחר,KPYTSH_LMHR
קצרים,KTSRYM
קצרצרים,KTSRTSRYM
קרוב עם צופית גרנט,KRVB_AM_TSVPYT_GRNT
קרובים קרובים,KRVBYM_KRVBYM
קרתגו,KRTGV
קשר השתיקה,KSHR_HSHTYKH
ראש גדול,RASH_GDVL
רביעיית רן,RBYAYYT_RN
רד בנד,RD_BND
רוח צפונית,RVH_TSPVNYT
רוחות הרפאים של ביירות,RVHVT_HRPAYM_SHEL_BYYRVT
רויאל שף,RVYAL_SHP
רון,RVN
רוני ותום,RVNY_VTVM
רינת בארץ האגדות,RYNT_BARTS_HAGDVT
רינת בארץ החגים,RYNT_BARTS_HHGYM
רינת בארץ המילים,RYNT_BARTS_HMYLYM
ריקוד האש,RYKVD_HASH
רמזור,RMZVR
רמת אביב גימל,RMT_ABYB_GYML
רעבים לאהבה,RABYM_LAHBH
רפאליס,RPALYS
רק בהצבעה,RK_BHTSBAH
רק להיום,RK_LHYVM
רשת מרגלים,RSHT_MRGLYM
"שאגת ש""ס",SHAGT_SHS
שאטו עין כרם,SHATV_AYN_KRM
שב״ס,SHBS
שבאבניקים,SHBABNYKYM
שבט צוצלת,SHBT_TSVTSLT
שביתה,SHBYTH
שבעים מיליון סיבות לעושר,SHBAYM_MYLYVN_SYBVT_LAVSHR
שבתות וחגים,SHBTVT_VHGYM
שוברי גלים,SHVBRY_GLYM
שוברי קופות,SHVBRY_KVPVT
שווה לנסות!,SHVVH_LNSVT
שוטטות,SHVTTVT
שולחן לשישה,SHVLHN_LSHYSHH
שולץ,SHVLTS
שומקום,SHVMKVM
שומרי הסף,SHVMRY_HSP
שוסטר ושוסטר,SHVSTR_VSHVSTR
שותפים,SHVTPYM
שחקן זר,SHHKN_ZR
שטוקהולם,SHTVKHVLM
שטיסל,SHTYSL
שידוך משמיים,SHYDVK_MSHMYYM
שיחות מילואים,SHYHVT_MYLVAYM
שירות חדרים,SHYRVT_HDRYM
שישה אפסים,SHYSHH_APSYM
שישו ושמחו,SHYSHV_VSHMHV
שכונה,SHKVNH
שכונת חיים,SHKVNT_HYYM
שלום,SHLVM
שלומי 6,SHLVMY_6
שלטון הצללים,SHLTVN_HTSLLYM
שלי הכובשת,SHLY_HKVBSHT
שמחות,SHMHVT
שמיים אדומים,SHMYYM_ADVMYM
שמנופוביה,SHMNVPVBYH
שמש,SHMSH
שמשון גיבור,SHMSHVN_GYBVR
שנות ה-80,SHNVT_H80
שנות ה-90,SHNVT_H90
שנות הירח,SHNVT_HYRH
שעת אפס,SHAT_APS
שעת נעילה,SHAT_NAYLH
שף מתחלף,SHP_MTHLP
שקופים,SHKVPYM
שקשוקה,SHKSHVKH
שרגא בישגדא,SHRGA_BYSHGDA
שש אמהות,SHSH_AMHVT
שתולה,SHTVLH
תא גורדין,TA_GVRDYN
תאג״ד,TAGD
תברחו,TBRHV
תוכנית קיציס,TVKNYT_KYTSYS
תום יער עושה את שביל ישראל,TVM_YAR_AVSHH_AT_SHBYL_YSHRAL
תום יער עושה בגרות,TVM_YAR_AVSHH_BGRVT
תחריר,THRYR
תיבת נח,TYBT_NH
תיכון השיר שלנו,TYKVN_HSHYR_SHLNV
תיק בחקירה,TYK_BHKYRH
תיק חיי,TYK_HYY
תיק יהלום,TYK_YHLVM
תיק נעדר,TYK_NADR
תיק סגור,TYK_SGVR
תיקים מהסנגוריה,TYKYM_MHSNGVRYH
תל אביב-יפו,TL_ABYBYPV
תלאתה,TLATH
תמונות יפואיות,TMVNVT_YPVAYVT
תמיד אותו חלום,TMYD_AVTV_HLVM
תמר הבלשית וקפטן יום שלישי,TMR_HBLSHYT_VKPTN_YVM_SHLYSHY
תמרות עשן,TMRVT_ASHN
תנוחי,TNVHY
תעשה לי ילד,TASHH_LY_YLD
תפוחים מן המדבר,TPVHYM_MN_HMDBR
תקומה,TKVMH
תראו מי שואל,TRAV_MY_SHVAL
תשעה חודשים,TSHAH_HVDSHYM
me אני,me_ANY
TLV עושים את תל אביב,TLV_AVSHYM_AT_TL_ABYB
